"Date","Price","Open","High","Low","Vol.","Change %"
"10-10-2024","3,174.20","3,140.00","3,211.00","3,056.10","2.91M","0.65%"
"09-10-2024","3,153.75","3,175.00","3,179.95","3,134.40","897.34K","-0.22%"
"08-10-2024","3,160.70","3,018.50","3,170.00","2,994.85","1.78M","4.73%"
"07-10-2024","3,018.00","3,110.65","3,128.50","2,980.45","1.74M","-2.98%"
"04-10-2024","3,110.65","3,119.90","3,149.50","3,070.00","987.58K","-0.17%"
"03-10-2024","3,116.00","3,150.00","3,196.35","3,084.10","1.31M","-2.20%"
"01-10-2024","3,186.10","3,136.30","3,192.00","3,107.00","1.37M","1.60%"
"30-09-2024","3,135.85","3,129.00","3,209.90","3,120.40","1.61M","0.18%"
"27-09-2024","3,130.30","3,122.00","3,179.00","3,116.00","2.30M","0.24%"
"26-09-2024","3,122.65","3,085.00","3,148.00","3,085.00","1.55M","0.57%"
"25-09-2024","3,105.10","3,108.00","3,123.90","3,080.20","913.01K","0.36%"
"24-09-2024","3,093.90","3,055.00","3,101.00","3,040.25","1.02M","1.64%"
"23-09-2024","3,043.95","3,020.00","3,070.00","3,015.25","897.31K","1.18%"
"20-09-2024","3,008.50","2,948.15","3,025.00","2,942.05","1.79M","2.22%"
"19-09-2024","2,943.15","2,975.05","2,975.25","2,890.35","1.66M","-0.44%"
"18-09-2024","2,956.30","2,976.00","2,984.75","2,935.00","831.89K","-0.64%"
"17-09-2024","2,975.20","2,990.05","2,995.90","2,952.50","698.70K","-0.32%"
"16-09-2024","2,984.90","2,972.00","3,026.40","2,972.00","695.16K","0.56%"
"13-09-2024","2,968.35","2,972.00","3,001.95","2,956.05","815.95K","-0.76%"
"12-09-2024","2,991.00","2,950.00","3,000.00","2,917.15","1.31M","1.81%"
"11-09-2024","2,937.85","2,985.00","2,992.95","2,928.00","888.63K","-1.63%"
"10-09-2024","2,986.40","2,971.60","3,007.40","2,947.60","803.78K","0.75%"
